he3 2.38E−04 2.21E−04 2.12E−04 5.05E−05
he4 6.76E+00 7.25E+00 8.37E+00 4.78E+00
li6 8.22E−16 6.56E−16 2.41E−15 4.75E−15
li7 3.57E−12 5.29E−13 1.56E−14 5.72E−13
be9 1.21E−16 1.85E−16 6.98E−16 2.43E−15
b10 1.47E−10 1.51E−10 1.55E−10 7.44E−14
b11 6.62E−10 6.79E−10 6.96E−10 3.80E−13
c12 2.09E−01 1.44E−01 1.79E−01 4.90E−01
c13 1.45E−03 6.65E−02 1.92E−03 4.31E−04
n14 7.19E−02 8.43E−02 1.02E−01 5.81E−02
n15 2.53E−04 4.63E−02 1.54E−05 4.26E−05
o16 9.80E−01 2.18E+00 2.74E+00 7.05E+00
o17 9.49E−04 1.34E−03 1.68E−03 9.69E−04
o18 3.98E−03 8.37E−02 2.79E−03 1.04E−02
f19 6.92E−05 1.18E−04 9.32E−06 9.84E−06
ne20 2.92E−01 6.47E−01 5.41E−01 1.74E+00
ne21 1.98E−03 1.70E−03 2.57E−03 5.19E−03
ne22 8.81E−03 1.66E−02 1.13E−02 1.07E−02
na23 1.20E−02 1.41E−02 1.81E−02 5.76E−02
mg24 6.88E−02 2.08E−01 1.68E−01 3.29E−01
mg25 1.12E−02 2.42E−02 2.18E−02 5.82E−02
mg26 7.50E−03 2.11E−02 2.36E−02 5.93E−02
al26 1.81E−05 6.23E−05 4.84E−05 9.70E−05
al27 8.56E−03 2.34E−02 2.37E−02 7.20E−02
si28 9.41E−02 1.24E−01 2.67E−01 3.28E−01
si29 2.95E−03 8.30E−03 1.08E−02 1.70E−02
si30 3.49E−03 1.10E−02 1.50E−02 1.97E−02
p31 9.79E−04 1.99E−03 3.65E−03 5.43E−03
s32 4.75E−02 4.35E−02 1.08E−01 1.40E−01
s33 5.28E−04 6.07E−04 1.42E−03 1.73E−03
s34 3.77E−03 4.36E−03 1.40E−02 1.69E−02
s36 1.30E−05 2.23E−05 5.90E−05 8.41E−05
cl35 2.68E−04 1.58E−04 6.05E−04 8.23E−04
cl37 9.70E−05 1.40E−04 2.33E−04 5.21E−04
ar36 7.35E−03 6.63E−03 1.41E−02 1.98E−02
ar38 1.22E−03 5.80E−04 4.51E−03 5.14E−03
ar40 3.19E−06 3.30E−06 1.36E−05 8.04E−06
k39 1.37E−04 6.78E−05 2.58E−04 2.56E−04
k40 1.79E−07 2.25E−07 5.09E−07 9.26E−07
k41 1.37E−05 1.11E−05 2.65E−05 4.65E−05
ca40 4.99E−03 5.67E−03 9.29E−03 1.42E−02
ca42 3.53E−05 1.34E−05 1.12E−04 1.24E−04
ca43 2.84E−06 3.57E−06 6.10E−06 7.56E−06
ca44 5.12E−05 9.93E−05 1.28E−04 4.13E−04
ca46 9.08E−07 1.33E−06 2.39E−06 3.71E−06
ca48 2.95E−06 2.77E−06 1.23E−05 2.69E−06
sc45 1.83E−06 2.71E−06 4.44E−06 6.81E−06
ti46 1.66E−05 7.32E−06 4.57E−05 5.62E−05
ti47 5.70E−06 8.09E−06 1.28E−05 3.99E−05
ti48 7.37E−05 1.66E−04 2.27E−04 5.93E−04
ti49 4.41E−06 8.24E−06 1.17E−05 1.84E−05
ti50 5.21E−06 1.06E−05 8.54E−06 3.31E−05
v50 5.94E−08 1.40E−07 3.68E−07 3.69E−07
v51 1.09E−05 1.55E−05 2.48E−05 6.58E−05
cr50 7.07E−05 2.02E−05 9.87E−05 1.21E−04
cr52 4.11E−04 9.25E−04 1.45E−03 2.47E−03
cr53 5.54E−05 7.52E−05 1.34E−04 1.44E−04
cr54 1.48E−05 2.42E−05 3.72E−05 4.99E−05
mn55 3.18E−04 3.53E−04 5.85E−04 4.94E−04
fe54 3.79E−03 2.12E−03 4.03E−03 5.89E−03
fe56 3.57E−02 8.87E−02 1.04E−01 2.77E−01
fe57 1.22E−03 2.83E−03 4.11E−03 8.90E−03
fe58 4.24E−04 7.36E−04 1.76E−03 1.36E−03
co59 2.43E−04 4.22E−04 6.60E−04 1.42E−03
ni58 1.52E−03 2.12E−03 3.37E−03 7.14E−03
ni60 1.20E−03 3.14E−03 3.33E−03 1.12E−02
ni61 2.43E−04 2.97E−04 9.10E−04 8.55E−04
ni62 3.69E−04 8.87E−04 8.34E−04 2.97E−03
ni64 1.60E−04 5.10E−04 6.97E−05 1.95E−03
cu63 9.89E−05 2.32E−04 6.14E−05 5.85E−04
cu65 4.15E−05 1.34E−04 2.02E−05 5.70E−04
zn64 5.27E−05 1.35E−04 8.32E−05 6.38E−04
zn66 7.13E−05 2.35E−04 7.40E−05 1.02E−03
zn67 1.17E−05 4.38E−05 3.01E−06 2.31E−04
zn68 5.33E−05 2.75E−04 1.19E−05 1.43E−03
zn70 2.45E−06 8.48E−06 5.89E−07 5.62E−05
ga69 6.82E−06 2.69E−05 1.27E−06 1.61E−04
ga71 4.95E−06 2.39E−05 2.26E−06 1.29E−04

